INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,UGDS
Herzing University-Atlanta,Atlanta,GA,30326,North Central Association of Colleges and Schools The Higher Learning Commission,33.846627,-84.362635,439
Mercer University,Macon,GA,31207,Southern Association of Colleges and Schools Commission on Colleges,32.831709,-83.650114,4556
Morehouse College,Atlanta,GA,30314,Southern Association of Colleges and Schools Commission on Colleges,33.74793,-84.415156,2163
Morehouse School of Medicine,Atlanta,GA,30310,Southern Association of Colleges and Schools Commission on Colleges,33.742549,-84.411958,NULL
North Georgia Technical College,Clarkesville,GA,30523,Southern Association of Colleges and Schools Commission on Colleges,34.63853,-83.529592,2416
Oglethorpe University,Atlanta,GA,30319-2797,Southern Association of Colleges and Schools Commission on Colleges,33.875939,-84.334756,1140
Paine College,Augusta,GA,30901-3182,Southern Association of Colleges and Schools Commission on Colleges,33.469259,-81.991199,551
Piedmont College,Demorest,GA,30535-0010,Southern Association of Colleges and Schools Commission on Colleges,34.56663,-83.543216,1284
Portfolio Center,Atlanta,GA,30309,Council on Occupational Education,33.811882,-84.39589,81
Reinhardt University,Waleska,GA,30183-2981,Southern Association of Colleges and Schools Commission on Colleges,34.318874,-84.554657,1238
Savannah Technical College,Savannah,GA,31405-5594,Southern Association of Colleges and Schools Commission on Colleges,32.023211,-81.114753,3776
Savannah College of Art and Design,Savannah,GA,31402-3146,Southern Association of Colleges and Schools Commission on Colleges,32.072966,-81.093905,9421
Savannah State University,Savannah,GA,31404-5310,Southern Association of Colleges and Schools Commission on Colleges,32.024781,-81.063377,4519
Shorter University,Rome,GA,30165,Southern Association of Colleges and Schools Commission on Colleges,34.258192,-85.196213,1345
South Georgia Technical College,Americus,GA,31709,Southern Association of Colleges and Schools Commission on Colleges,32.116663,-84.188321,1405
The Creative Circus,Atlanta,GA,30324,Council on Occupational Education,33.813156,-84.361989,245
Spelman College,Atlanta,GA,30314-4399,Southern Association of Colleges and Schools Commission on Colleges,33.74519,-84.410118,2142
Thomas University,Thomasville,GA,31792,Southern Association of Colleges and Schools Commission on Colleges,30.813954,-83.981478,745
Toccoa Falls College,Toccoa Falls,GA,30598,Southern Association of Colleges and Schools Commission on Colleges,34.59554,-83.353462,773
Truett McConnell University,Cleveland,GA,30528,Southern Association of Colleges and Schools Commission on Colleges,34.594437,-83.745972,752
Wiregrass Georgia Technical College,Valdosta,GA,31602-0929,Southern Association of Colleges and Schools Commission on Colleges,30.889221,-83.35381,2585
Valdosta State University,Valdosta,GA,31698,Southern Association of Colleges and Schools Commission on Colleges,30.849236,-83.289925,8692
Wesleyan College,Macon,GA,31210-4462,Southern Association of Colleges and Schools Commission on Colleges,32.874648,-83.717186,579
University of West Georgia,Carrollton,GA,30118-0001,Southern Association of Colleges and Schools Commission on Colleges,33.574421,-85.099007,10309
Young Harris College,Young Harris,GA,30582,Southern Association of Colleges and Schools Commission on Colleges,34.93316,-83.847765,1166
Chaminade University of Honolulu,Honolulu,HI,96816-1578,Western Association of Schools and Colleges Senior Colleges and University Commission,21.290274,-157.807642,1773
University of Hawaii at Hilo,Hilo,HI,96720-4091,Western Association of Schools and Colleges Senior Colleges and University Commission,19.701854,-155.081329,3124
University of Hawaii at Manoa,Honolulu,HI,96822-2217,Western Association of Schools and Colleges Senior Colleges and University Commission,21.292648,-157.816607,13320
Hawaii Institute of Hair Design,Honolulu,HI,96817-5195,Accrediting Commission of Career Schools and Colleges,21.313505,-157.861958,79
Hawaii Pacific University,Honolulu,HI,96813,Western Association of Schools and Colleges Senior Colleges and University Commission,21.31027,-157.859401,3940
Honolulu Community College,Honolulu,HI,96817-4505,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,21.319946,-157.87488,3288
Kapiolani Community College,Honolulu,HI,96816-4421,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,21.271357,-157.800413,5643
Kauai Community College,Lihue,HI,96766-9500,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,21.969509,-159.395966,1098
Leeward Community College,Pearl City,HI,96782-3366,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,21.392802,-157.985099,5628
University of Hawaii Maui College,Kahului,HI,96732-1617,Western Association of Schools and Colleges Senior Colleges and University Commission,20.890561,-156.479854,3014
Med-Assist School of Hawaii Inc,Honolulu,HI,96813,Accrediting Bureau of Health Education Schools,21.30557,-157.861531,55
World Medicine Institute,Honolulu,HI,96821,Accrediting Commission for Acupuncture and Oriental Medicine,21.296439,-157.754719,NULL
Travel Institute of the Pacific,Honolulu,HI,96814,Accrediting Commission of Career Schools and Colleges,21.298959,-157.841529,71
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,Western Association of Schools and Colleges Senior Colleges and University Commission,21.354897,-158.061825,2517
Windward Community College,Kaneohe,HI,96744-3528,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,21.40922,-157.813213,1630
Carrington College-Boise,Boise,ID,83704-8742,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,43.615935,-116.260571,420
Boise Bible College,Boise,ID,83714-1220,Association for Bibical Higher Educaiton,43.657437,-116.290607,143
Boise State University,Boise,ID,83725,Northwest Commission on Colleges and Universities,43.604403,-116.205789,15959
Eastern Idaho Technical College,Idaho Falls,ID,83404-5788,Northwest Commission on Colleges and Universities,43.4818,-111.984645,562
Idaho State University,Pocatello,ID,83209,Northwest Commission on Colleges and Universities,42.864108,-112.429084,8969
University of Idaho,Moscow,ID,83844-2282,Northwest Commission on Colleges and Universities,46.726894,-117.024296,7826
The College of Idaho,Caldwell,ID,83605-4432,Northwest Commission on Colleges and Universities,43.652653,-116.676838,1034
Lewis-Clark State College,Lewiston,ID,83501-2698,Northwest Commission on Colleges and Universities,46.410034,-117.026371,3013
ITT Technical Institute-Boise,Boise,ID,83713-1529,NULL,43.660091,-116.335509,240
Aveda Institute-Twin Falls,Twin Falls,ID,83301,National Accrediting Commission of Career Arts and Sciences,42.593695,-114.461693,70
Mr Leon's School of Hair Design-Moscow,Moscow,ID,83843,National Accrediting Commission of Career Arts and Sciences,46.729394,-117.001352,21
North Idaho College,Coeur d'Alene,ID,83814-2199,Northwest Commission on Colleges and Universities,47.676416,-116.798399,4441
Northwest Nazarene University,Nampa,ID,83686-5897,Northwest Commission on Colleges and Universities,43.563181,-116.564792,1286
The School of Hairstyling,Chubbuck,ID,83202,National Accrediting Commission of Career Arts and Sciences,42.920006,-112.465046,31
Brigham Young University-Idaho,Rexburg,ID,83460-1690,Northwest Commission on Colleges and Universities,43.815384,-111.784728,28457
College of Southern Idaho,Twin Falls,ID,83301,Northwest Commission on Colleges and Universities,42.58148,-114.474373,4159
Adler University,Chicago,IL,60602,North Central Association of Colleges and Schools The Higher Learning Commission,41.88232,-87.628651,NULL
American Academy of Art,Chicago,IL,60604-4302,Accrediting Commission of Career Schools and Colleges,41.877824,-87.624396,317
School of the Art Institute of Chicago,Chicago,IL,60603,North Central Association of Colleges and Schools The Higher Learning Commission,41.879646,-87.621411,2843
Augustana College,Rock Island,IL,61201-2296,North Central Association of Colleges and Schools The Higher Learning Commission,41.500326,-90.552402,2454
Aurora University,Aurora,IL,60506-4892,North Central Association of Colleges and Schools The Higher Learning Commission,41.754465,-88.349469,3567
Tricoci University of Beauty Culture-Urbana,Urbana,IL,61801,National Accrediting Commission of Career Arts and Sciences,40.117722,-88.205839,15
Southwestern Illinois College,Belleville,IL,62221-5899,North Central Association of Colleges and Schools The Higher Learning Commission,38.516406,-89.924466,8614
Bethany Theological Seminary,Richmond,IN,47374-4019,North Central Association of Colleges and Schools The Higher Learning Commission,39.8265,-84.9099,NULL
Black Hawk College,Moline,IL,61265-5899,North Central Association of Colleges and Schools The Higher Learning Commission,41.475983,-90.449497,3788
Blackburn College,Carlinville,IL,62626,North Central Association of Colleges and Schools The Higher Learning Commission,39.288298,-89.872248,579
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,62305-7005,North Central Association of Colleges and Schools The Higher Learning Commission,39.935896,-91.398548,244
Blessing Hospital School of Radiologic Technology,Quincy,IL,62305-7005,North Central Association of Colleges and Schools The Higher Learning Commission,39.936595,-91.398901,21
Bradley University,Peoria,IL,61625-0001,North Central Association of Colleges and Schools The Higher Learning Commission,40.697605,-89.61462,4436
Paul Mitchell the School-Bradley,Bourbonnais,IL,60914,National Accrediting Commission of Career Arts and Sciences,41.17436,-87.848231,304
Cameo Beauty Academy,Oak Lawn,IL,60453,National Accrediting Commission of Career Arts and Sciences,41.716251,-87.740865,99
Cannella School of Hair Design-Villa Park,Villa Park,IL,60181,National Accrediting Commission of Career Arts and Sciences,41.901717,-87.939652,47
Cannella School of Hair Design-Chicago,Chicago,IL,60617-4303,National Accrediting Commission of Career Arts and Sciences,41.731437,-87.551315,79
Cannella School of Hair Design-Chicago,Chicago,IL,60632-2549,National Accrediting Commission of Career Arts and Sciences,41.815699,-87.701239,106
Cannella School of Hair Design-Elgin,Elgin,IL,60120,National Accrediting Commission of Career Arts and Sciences,42.036421,-88.286781,44
Empire Beauty School-Hanover Park,Hanover Park,IL,60133-5421,National Accrediting Commission of Career Arts and Sciences,41.970117,-88.114475,80
Capri Beauty College,Oak Forest,IL,60452,National Accrediting Commission of Career Arts and Sciences,41.603863,-87.771567,58
Carl Sandburg College,Galesburg,IL,61401,North Central Association of Colleges and Schools The Higher Learning Commission,40.98128,-90.408203,1516
Catholic Theological Union at Chicago,Chicago,IL,60615-5698,Commission on Accrediting of the Association of Theological Schools,41.798059,-87.585772,NULL
La James International College-East Moline,East Moline,IL,61244,National Accrediting Commission of Career Arts and Sciences,41.490281,-90.451978,10
Midwestern University-Downers Grove,Downers Grove,IL,60515-5514,North Central Association of Colleges and Schools The Higher Learning Commission,41.828376,-88.000989,NULL
The Chicago School of Professional Psychology at Chicago,Chicago,IL,60654,Western Association of Schools and Colleges Senior Colleges and University Commission,41.887903,-87.633933,NULL
Chicago State University,Chicago,IL,60628-1598,North Central Association of Colleges and Schools The Higher Learning Commission,41.718813,-87.610344,3437
Chicago Theological Seminary,Chicago,IL,60637,Commission on Accrediting of the Association of Theological Schools,41.786056,-87.591249,NULL
University of Chicago,Chicago,IL,60637,North Central Association of Colleges and Schools The Higher Learning Commission,41.78917,-87.601196,5869
City Colleges of Chicago-Kennedy-King College,Chicago,IL,60621-2709,North Central Association of Colleges and Schools The Higher Learning Commission,41.780253,-87.643425,2821
City Colleges of Chicago-Malcolm X College,Chicago,IL,60612-3197,North Central Association of Colleges and Schools The Higher Learning Commission,41.876942,-87.674126,4027
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,60628-1696,North Central Association of Colleges and Schools The Higher Learning Commission,41.709997,-87.589249,2149
City Colleges of Chicago-Harry S Truman College,Chicago,IL,60640-6063,North Central Association of Colleges and Schools The Higher Learning Commission,41.964502,-87.659107,4135
City Colleges of Chicago-Richard J Daley College,Chicago,IL,60652-1299,North Central Association of Colleges and Schools The Higher Learning Commission,41.755955,-87.723981,3953
City Colleges of Chicago-Harold Washington College,Chicago,IL,60601-2449,North Central Association of Colleges and Schools The Higher Learning Commission,41.886067,-87.626596,7943
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,60634-1500,North Central Association of Colleges and Schools The Higher Learning Commission,41.958774,-87.787868,7691
Columbia College Chicago,Chicago,IL,60605-1996,North Central Association of Colleges and Schools The Higher Learning Commission,41.873589,-87.624554,8492
Concordia University-Chicago,River Forest,IL,60305-1499,North Central Association of Colleges and Schools The Higher Learning Commission,41.898574,-87.810009,1447
Le Cordon Bleu College of Culinary Arts-Chicago,Chicago,IL,60610,North Central Association of Colleges and Schools The Higher Learning Commission,41.898323,-87.63744,1009
Coyne College,Chicago,IL,60602-3304,Accrediting Commission of Career Schools and Colleges,41.887808,-87.649026,522
Danville Area Community College,Danville,IL,61832-5118,North Central Association of Colleges and Schools The Higher Learning Commission,40.128466,-87.586347,2029
Tricoci University of Beauty Culture-Danville,Danville,IL,61832,National Accrediting Commission of Career Arts and Sciences,40.075994,-87.634654,27
DePaul University,Chicago,IL,60604,North Central Association of Colleges and Schools The Higher Learning Commission,41.923332,-87.654116,15683
Cosmetology & Spa Academy,Crystal Lake,IL,60014,National Accrediting Commission of Career Arts and Sciences,42.24918,-88.294087,153
College of DuPage,Glen Ellyn,IL,60137-6599,North Central Association of Colleges and Schools The Higher Learning Commission,41.841577,-88.071635,16501
East-West University,Chicago,IL,60605,North Central Association of Colleges and Schools The Higher Learning Commission,41.871309,-87.624793,539
Eastern Illinois University,Charleston,IL,61920,North Central Association of Colleges and Schools The Higher Learning Commission,39.483017,-88.175505,7063
Elgin Community College,Elgin,IL,60123-7193,North Central Association of Colleges and Schools The Higher Learning Commission,42.018066,-88.32194,8167
Elmhurst College,Elmhurst,IL,60126-3096,North Central Association of Colleges and Schools The Higher Learning Commission,41.899215,-87.946096,2752
Eureka College,Eureka,IL,61530,North Central Association of Colleges and Schools The Higher Learning Commission,40.713042,-89.268952,685
First Institute Inc,Crystal Lake,IL,60014,Accrediting Council for Continuing Education & Training,42.212921,-88.33789,243
Fox College,Bedford Park,IL,60638,North Central Association of Colleges and Schools The Higher Learning Commission,41.723498,-87.726962,331
Garrett-Evangelical Theological Seminary,Evanston,IL,60201-3298,Commission on Accrediting of the Association of Theological Schools,42.053318,-87.676721,NULL
Gem City College,Quincy,IL,62301,Accrediting Council for Independent Colleges and Schools,39.926572,-91.404548,35
Governors State University,University Park,IL,60484,North Central Association of Colleges and Schools The Higher Learning Commission,41.448603,-87.717012,3526
Graham Hospital School of Nursing,Canton,IL,61520-2497,Accreditation Commission for Education in Nursing,40.55327,-90.038475,54
Greenville College,Greenville,IL,62246,North Central Association of Colleges and Schools The Higher Learning Commission,38.894751,-89.409178,1042
Hair Professionals Academy of Cosmetology,West Dundee,IL,60118,National Accrediting Commission of Career Arts and Sciences,42.094047,-88.289103,226
Hair Professionals Career College,Sycamore,IL,60178,National Accrediting Commission of Career Arts and Sciences,41.961956,-88.716692,63
Hair Professionals School of Cosmetology,Oswego,IL,60543,National Accrediting Commission of Career Arts and Sciences,41.682461,-88.365535,88
Harrington College of Design,Chicago,IL,60605,North Central Association of Colleges and Schools The Higher Learning Commission,41.877227,-87.624659,25
Hebrew Theological College,Skokie,IL,60077,North Central Association of Colleges and Schools The Higher Learning Commission,42.011055,-87.761119,476
Highland Community College,Freeport,IL,61032-9341,North Central Association of Colleges and Schools The Higher Learning Commission,42.283315,-89.673597,1434
Rosalind Franklin University of Medicine and Science,North Chicago,IL,60064-3095,North Central Association of Colleges and Schools The Higher Learning Commission,42.300069,-87.859632,NULL
University of Illinois at Chicago,Chicago,IL,60607,North Central Association of Colleges and Schools The Higher Learning Commission,41.872651,-87.651145,17368
Benedictine University,Lisle,IL,60532-0900,North Central Association of Colleges and Schools The Higher Learning Commission,41.776395,-88.095948,3298
Illinois College of Optometry,Chicago,IL,60616-3878,North Central Association of Colleges and Schools The Higher Learning Commission,41.835447,-87.623016,NULL
University of Illinois at Urbana-Champaign,Champaign,IL,61820-5711,North Central Association of Colleges and Schools The Higher Learning Commission,40.108864,-88.230309,32170
Illinois Wesleyan University,Bloomington,IL,61702-2900,North Central Association of Colleges and Schools The Higher Learning Commission,40.491522,-88.990622,1834
Illinois Central College,East Peoria,IL,61635-0001,North Central Association of Colleges and Schools The Higher Learning Commission,40.706247,-89.525411,7401
Illinois College,Jacksonville,IL,62650-2299,North Central Association of Colleges and Schools The Higher Learning Commission,39.730827,-90.246256,942
Olney Central College,Olney,IL,62450,North Central Association of Colleges and Schools The Higher Learning Commission,38.733906,-88.095764,805
Illinois Institute of Technology,Chicago,IL,60616,North Central Association of Colleges and Schools The Higher Learning Commission,41.833801,-87.628346,2923
Argosy University-Chicago,Chicago,IL,60601,Western Association of Schools and Colleges Senior Colleges and University Commission,41.886006,-87.623772,209
Illinois State University,Normal,IL,61790-1000,North Central Association of Colleges and Schools The Higher Learning Commission,40.509724,-88.99234,18343
Illinois Valley Community College,Oglesby,IL,61348-9692,North Central Association of Colleges and Schools The Higher Learning Commission,41.30652,-89.102036,2572
Institute for Clinical Social Work,Chicago,IL,60605-1229,North Central Association of Colleges and Schools The Higher Learning Commission,41.87631,-87.627181,NULL
Sanford-Brown College-Chicago,Chicago,IL,60602-3300,NULL,41.882044,-87.627626,88
John A Logan College,Carterville,IL,62918-2500,North Central Association of Colleges and Schools The Higher Learning Commission,37.747453,-89.09021,2650
The John Marshall Law School,Chicago,IL,60604,American Bar Association,41.877966,-87.628567,NULL
John Wood Community College,Quincy,IL,62305-8736,North Central Association of Colleges and Schools The Higher Learning Commission,39.913722,-91.339565,1616
Joliet Junior College,Joliet,IL,60431-8938,North Central Association of Colleges and Schools The Higher Learning Commission,41.500535,-88.180985,11955
Judson University,Elgin,IL,60123-1498,North Central Association of Colleges and Schools The Higher Learning Commission,42.05896,-88.289708,1076
Kankakee Community College,Kankakee,IL,60901,North Central Association of Colleges and Schools The Higher Learning Commission,41.098226,-87.851737,2673
Kaskaskia College,Centralia,IL,62801,North Central Association of Colleges and Schools The Higher Learning Commission,38.562292,-89.191723,2366
Kendall College,Chicago,IL,60642,North Central Association of Colleges and Schools The Higher Learning Commission,41.898756,-87.648936,1232
Kishwaukee College,Malta,IL,60150-9699,North Central Association of Colleges and Schools The Higher Learning Commission,41.938805,-88.879739,2939
Knox College,Galesburg,IL,61401-9999,North Central Association of Colleges and Schools The Higher Learning Commission,40.941829,-90.370316,1377
College of Lake County,Grayslake,IL,60030-1198,North Central Association of Colleges and Schools The Higher Learning Commission,42.355881,-88.012392,10711
Lake Forest College,Lake Forest,IL,60045-2399,North Central Association of Colleges and Schools The Higher Learning Commission,42.250456,-87.830777,1559
Lake Forest Graduate School of Management,Lake Forest,IL,60045,North Central Association of Colleges and Schools The Higher Learning Commission,42.243432,-87.893204,NULL
Lake Land College,Mattoon,IL,61938,North Central Association of Colleges and Schools The Higher Learning Commission,39.43287,-88.379229,3499
Lakeview College of Nursing,Danville,IL,61832,North Central Association of Colleges and Schools The Higher Learning Commission,40.137179,-87.644452,303
Lewis and Clark Community College,Godfrey,IL,62035,North Central Association of Colleges and Schools The Higher Learning Commission,38.952408,-90.195552,4106
Lewis University,Romeoville,IL,60446-2200,North Central Association of Colleges and Schools The Higher Learning Commission,41.605432,-88.079032,4529
Lincoln Christian University,Lincoln,IL,62656-2111,North Central Association of Colleges and Schools The Higher Learning Commission,40.148897,-89.34582,506
Lincoln College,Lincoln,IL,62656,North Central Association of Colleges and Schools The Higher Learning Commission,40.157141,-89.360552,1118
Lincoln Land Community College,Springfield,IL,62794-9256,North Central Association of Colleges and Schools The Higher Learning Commission,39.721211,-89.611249,4985
Lincoln College of Technology-Melrose Park,Melrose Park,IL,60160-1605,Accrediting Commission of Career Schools and Colleges,41.906487,-87.831253,676
Loyola University Chicago,Chicago,IL,60660,North Central Association of Colleges and Schools The Higher Learning Commission,41.999161,-87.657399,10276
Lutheran School of Theology at Chicago,Chicago,IL,60615-5134,Commission on Accrediting of the Association of Theological Schools,41.795064,-87.599577,NULL
Trinity College of Nursing & Health Sciences,Rock Island,IL,61201-5317,North Central Association of Colleges and Schools The Higher Learning Commission,41.48559,-90.57091,217
Steven Papageorge Hair Academy,Chicago,IL,60657,National Accrediting Commission of Career Arts and Sciences,41.939864,-87.657262,63
MacCormac College,Chicago,IL,60602-4405,North Central Association of Colleges and Schools The Higher Learning Commission,41.875337,-87.626373,206
